Date,Temperature,Humidity,Elevation,Petrol tax,Nifty 50 turnover,Number of dispensers in fuel station,Storage capacity,Number of vehicles visiting the station,Petrol Sold,Diesel Sold
2023-06-22,29.0,16,700,35,25147.58,6,15,7123,57.6,39.3
2023-06-23,30.0,17,700,31,28648.15,6,15,5895,54.6,52.1
2023-06-24,29.0,16,700,19,24273.17,6,15,3579,45.4,43.6
2023-06-25,28.0,15,700,27,22411.41,6,15,7432,28.0,34.906
2023-06-26,27.0,14,700,32,19094.08,6,15,4130,28.6,45.6
2023-06-27,26.0,13,700,22,19237.57,6,15,5311,26.3,58.8
2023-06-28,25.0,12,700,34,21660.69,6,15,2081,34.8,25.8
2023-06-29,24.0,11,700,15,70755.08,6,15,3410,49.1,26.8
2023-06-30,23.0,10,700,18,24056.99,6,15,2328,58.8,50.1
2023-07-01,22.0,9,700,28,23171.88,6,15,5502,25.4,42.3
2023-07-02,21.0,8,700,21,20369.16,6,15,3578,39.0,32.594
2023-07-03,20.0,7,700,30,21957.47,6,15,6223,55.0,38.7
2023-07-04,19.0,6,700,25,21482.77,6,15,6497,58.5,58.2
2023-07-05,18.0,5,700,33,22762.3,6,15,2953,25.0,48.3
2023-07-06,17.0,4,700,20,20181.42,6,15,8224,20.3,40.4
2023-07-07,16.0,5,700,14,15386.04,6,15,5177,39.2,54.906
2023-07-08,15.0,6,700,26,22612.62,6,15,9522,50.2,56.1
2023-07-09,16.0,7,700,29,19520.08,6,15,6869,30.7,47.1
2023-07-10,17.0,8,700,23,24820.77,6,15,2871,44.906,21.4
2023-07-11,18.0,9,700,36,28877.67,6,15,2960,22.0,49.1
2023-07-12,19.0,10,700,17,22699.84,6,15,9612,30.1,33.2
2023-07-13,20.0,11,700,27,19687.08,6,15,2998,40.3,45.2
2023-07-14,21.0,12,700,34,19102.48,6,15,4223,48.9,51.8
2023-07-15,22.0,13,700,20,24990.87,6,15,7945,38.2,50.9
2023-07-16,23.0,14,700,32,20619.6,6,15,4962,51.3,29.5
2023-07-17,24.0,15,700,16,17355.14,6,15,5589,26.0,37.2
2023-07-18,25.0,16,700,29,21415.89,6,15,7496,22.9,30.9
2023-07-19,26.0,17,700,23,37356.94,6,15,3685,51.6,22.9
2023-07-20,27.0,18,700,35,26376.62,6,15,3673,44.3,45.8
2023-07-21,28.0,17,700,15,22681.54,6,15,6415,55.8,33.8
2023-07-22,29.0,16,700,28,26634.06,6,15,9705,48.0,36.3
2023-07-23,30.0,15,700,14,24699.24,6,15,6839,42.1,27.7
2023-07-24,31.0,14,700,19,28540.18,6,15,3787,27.9,28.3
2023-07-25,32.0,13,700,22,23089.25,6,15,6571,45.6,27.203
2023-07-26,31.0,12,700,33,25991.55,6,15,7841,50.0,31.203
2023-07-27,30.0,11,700,30,26883.78,6,15,6809,27.7,49.406
2023-07-28,29.0,10,700,24,40163.14,6,15,7601,51.4,37.6
2023-07-29,28.0,9,700,21,27244.56,6,15,6173,37.7,36.7
2023-07-30,27.0,8,700,25,25484.44,6,15,6310,53.1,47.8
2023-07-31,26.0,7,700,18,25975.57,6,15,6829,45.2,28.6
2023-08-01,25.0,6,700,31,33269.08,6,15,3940,56.3,52.406
2023-08-02,24.0,7,700,36,26447.9,6,15,8190,31.8,42.8
2023-08-03,23.0,8,700,17,30622.66,6,15,8784,53.3,20.7
2023-08-04,22.0,9,700,26,33802.14,6,15,8230,33.3,53.9
2023-08-05,21.0,10,700,13,24522.29,6,15,6477,52.9,35.8
2023-08-06,20.0,11,700,16,29665.67,6,15,5957,33.4,27.1
2023-08-07,19.0,12,700,35,23023.86,6,15,6902,36.1,30.3
2023-08-08,18.0,13,700,31,35019.13,6,15,5394,37.6,53.4
2023-08-09,17.0,14,700,19,22995.98,6,15,7383,26.7,54.6
2023-08-10,16.0,15,700,27,23075.38,6,15,9304,50.6,29.9
2023-08-11,17.0,16,700,32,24554.71,6,15,7018,43.5,43.2
2023-08-12,18.0,17,700,22,23997.47,6,15,4631,41.6,56.3
2023-08-13,19.0,18,700,34,29899.38,6,15,4715,27.4,38.4
2023-08-14,20.0,19,700,15,28086.15,6,15,8808,52.0,47.406
2023-08-15,21.0,20,700,18,21655.87,6,15,7292,35.7,44.3
2023-08-16,22.0,19,700,28,25437.47,6,15,4957,41.8,41.6
2023-08-17,23.0,18,700,21,23201.75,6,15,4857,40.8,22.203
2023-08-18,24.0,17,700,30,29430.34,6,15,4744,41.4,25.1
2023-08-19,25.0,16,700,25,24521.24,6,15,4894,22.203,46.1
2023-08-20,26.0,15,700,33,22767.43,6,15,7811,24.3,55.6
2023-08-21,27.0,16,700,20,21484.66,6,15,4684,54.1,57.3
2023-08-22,28.0,15,700,14,26505.65,6,15,9707,58.3,48.4
2023-08-23,29.0,14,700,26,25641.41,6,15,7508,26.6,31.9
2023-08-24,30.0,13,700,29,20738.75,6,15,3275,38.5,59.1
2023-08-25,31.0,12,700,23,20226.48,6,15,7137,38.8,24.2
2023-08-26,32.0,11,700,36,20167.16,6,15,7201,56.906,49.8
2023-08-27,33.0,10,700,17,24338.24,6,15,6473,25.9,26.7
2023-08-28,34.0,9,700,27,24998.12,6,15,3904,25.1,56.4
2023-08-29,35.0,8,700,34,18237.22,6,15,7839,33.8,26.5
2023-08-30,36.0,7,700,20,22501.12,6,15,4156,57.1,32.9
2023-08-31,35.0,6,700,32,19877.49,6,15,6029,24.8,39.6
2023-09-01,34.0,16,700,16,45699.54,6,15,2791,51.7,29.1
2023-09-02,33.0,15,700,29,25962.38,6,15,2411,35.0,50.7
2023-09-03,32.0,14,700,23,24822.79,6,15,2189,25.7,54.8
2023-09-04,31.0,13,700,35,24029.89,6,15,3500,36.8,23.1
2023-05-28,24.0,45,1000,15,32500.52,8,18,11649,54.3,42.6
2023-05-29,22.0,42,1000,28,23591.0,8,18,18410,21.6,33.4
2023-05-30,25.0,48,1000,14,23530.84,8,18,16144,47.3,35.3
2023-05-31,23.0,40,1000,19,21924.34,8,18,10977,41.8,20.1
2023-06-01,26.0,50,1000,22,30110.8,8,18,8621,55.6,51.8
2023-06-02,27.0,55,1000,33,24332.36,8,18,8743,50.1,42.6
2023-06-03,28.0,60,1000,30,21902.65,8,18,18553,57.406,28.3
2023-06-04,26.0,52,1000,24,42681.35,8,18,9298,59.3,49.1
2023-06-05,25.0,47,1000,21,21135.95,8,18,3347,29.3,40.2
2023-06-06,23.0,43,1000,25,37351.58,8,18,17454,46.1,54.5
2023-06-07,22.0,41,1000,18,26711.83,8,18,8835,48.4,31.7
2023-06-08,21.0,39,1000,31,24137.57,8,18,15791,24.3,49.906
2023-06-09,20.0,37,1000,36,20194.48,8,18,20798,42.7,46.4
2023-06-10,19.0,35,1000,17,18118.19,8,18,13403,46.6,34.6
2023-06-11,18.0,33,1000,26,19659.17,8,18,5468,40.9,23.4
2023-06-12,19.0,35,1000,13,30069.78,8,18,6158,58.6,38.9
2023-06-13,20.0,37,1000,16,20978.72,8,18,15990,43.4,57.6
2023-06-14,22.0,40,1000,35,21459.58,8,18,16685,43.7,39.2
2023-06-15,24.0,42,1000,31,26017.47,8,18,10860,40.1,25.6
2023-06-16,25.0,45,1000,19,22019.04,8,18,13957,39.4,53.2
2023-06-17,26.0,48,1000,27,16096.52,8,18,6906,24.8,37.9
2023-06-18,27.0,51,1000,32,15499.67,8,18,7768,33.2,26.7
2023-06-19,28.0,54,1000,22,18735.62,8,18,13070,23.3,52.3
2023-06-20,29.0,57,1000,34,19900.99,8,18,16953,52.9,35.4
2023-06-21,30.0,60,1000,15,20999.94,8,18,16197,29.4,32.9
2023-06-22,31.0,63,1000,18,24363.02,8,18,3138,22.3,47.8
2023-06-23,30.0,65,1000,28,14746.01,8,18,16813,23.2,29.703
2023-06-24,29.0,63,1000,21,16839.87,8,18,14311,52.6,58.9
2023-06-25,28.0,60,1000,30,18581.64,8,18,14444,46.3,44.5
2023-06-26,27.0,57,1000,25,23582.01,8,18,20699,43.1,21.1
2023-06-27,26.0,54,1000,33,17944.31,8,18,16480,23.4,43.6
2023-06-28,25.0,51,1000,20,16212.9,8,18,18224,35.2,27.8
2023-06-29,24.0,48,1000,14,19818.32,8,18,21403,51.906,37.1
2023-06-30,23.0,45,1000,26,28939.64,8,18,20452,54.8,56.7
2023-07-01,22.0,42,1000,29,19947.48,8,18,8910,34.4,50.9
2023-07-02,21.0,39,1000,23,17095.73,8,18,5838,51.1,36.2
2023-07-03,20.0,36,1000,36,19397.36,8,18,11716,38.5,45.6
2023-07-04,19.0,33,1000,17,18452.51,8,18,10667,24.6,50.1
2023-07-05,18.0,30,1000,31,19771.49,8,18,14640,40.5,48.9
2023-07-06,17.0,27,1000,17,17304.87,8,18,11368,45.5,24.5
2023-07-07,16.0,30,1000,28,16296.56,8,18,10047,28.8,46.7
2023-07-08,17.0,33,1000,19,18288.06,8,18,14832,27.4,22.3
2023-07-09,18.0,36,1000,34,17060.45,8,18,17521,29.2,55.6
2023-07-10,19.0,39,1000,15,19087.29,8,18,8551,49.0,30.8
2023-07-11,20.0,42,1000,25,12916.21,8,18,11947,38.0,31.9
2023-07-12,21.0,45,1000,30,2482.27,8,18,21728,41.6,43.4
2023-07-13,22.0,48,1000,22,13527.22,8,18,20781,31.7,59.8
2023-07-14,23.0,51,1000,16,24957.24,8,18,20052,48.8,40.1
2023-07-15,24.0,54,1000,35,26041.45,8,18,21545,41.3,27.7
2023-07-16,25.0,57,1000,21,21681.28,8,18,5102,45.8,53.4
2023-07-17,26.0,60,1000,29,16737.05,8,18,17134,58.2,38.7
2023-07-18,27.0,63,1000,18,17947.2,8,18,6363,38.9,22.203
2023-07-19,28.0,65,1000,33,17405.48,8,18,20029,44.906,35.6
2023-07-20,29.0,67,1000,24,15906.94,8,18,11564,46.0,42.3
2023-07-21,30.0,70,1000,14,14389.29,8,18,14745,30.5,47.8
2023-07-22,31.0,72,1000,26,23043.25,8,18,14188,39.6,26.7
2023-07-23,32.0,70,1000,20,22367.64,8,18,8954,31.8,32.1
2023-07-24,33.0,67,1000,27,48877.95,8,18,9497,36.4,46.5
2023-07-25,32.0,65,1000,36,22461.53,8,18,14992,47.0,53.2
2023-07-26,31.0,63,1000,23,33917.52,8,18,9459,50.3,29.3
2023-07-27,30.0,60,1000,32,41763.52,8,18,20924,47.7,41.1
2023-07-28,29.0,57,1000,13,35654.76,8,18,21180,36.7,37.6
2023-07-29,28.0,54,1000,15,24862.43,8,18,10223,36.5,51.2
2023-07-30,27.0,51,1000,19,27449.96,8,18,8142,44.1,25.6
2023-07-31,26.0,48,1000,26,21150.17,8,18,15107,21.7,48.9
2023-08-01,25.0,45,1000,22,25404.64,8,18,11876,52.3,33.2
2023-08-02,24.0,42,1000,34,25918.44,8,18,13533,50.7,29.1
2023-08-03,23.0,39,1000,31,32593.42,8,18,14602,26.5,46.7
2023-08-04,22.0,36,1000,20,50114.46,8,18,10182,25.2,37.8
2023-08-05,21.0,33,1000,28,23615.28,8,18,20050,54.5,52.1
2023-08-06,20.0,30,1000,16,23750.61,8,18,16429,37.6,45.6
2023-08-07,19.0,27,1000,33,30993.12,8,18,15989,42.9,27.8
2023-08-08,18.0,24,1000,35,26001.02,8,18,20155,57.3,38.9
2023-08-09,17.0,27,1000,27,27709.29,8,18,9160,29.5,52.3
2023-08-10,16.0,30,1000,18,20081.33,8,18,12635,38.1,25.6
2023-08-11,15.0,33,1000,21,23059.25,8,18,7313,57.1,47.6
2023-08-12,16.0,36,1000,32,35031.0,8,18,5887,56.1,32.9
2023-08-13,17.0,39,1000,23,23697.88,8,18,21444,40.7,56.7
2023-08-14,18.0,42,1000,24,14184.09,8,18,11638,50.5,30.9
2023-08-15,19.0,45,1000,30,25316.13,8,18,15988,56.7,24.3
2023-08-16,20.0,48,1000,25,32329.23,8,18,21763,43.6,42.3
2023-08-17,21.0,51,1000,14,30868.15,8,18,21608,50.9,35.6
2023-08-18,22.0,54,1000,17,26554.49,8,18,6177,59.7,27.8
2023-08-19,23.0,57,1000,36,21140.94,8,18,14418,56.906,40.1
2023-08-20,24.0,60,1000,13,24055.74,8,18,12083,47.8,53.4
2023-08-21,25.0,63,1000,31,20958.96,8,18,7824,46.2,37.8
2023-08-22,26.0,65,1000,17,23492.12,8,18,10038,52.7,42.3
2023-08-23,27.0,45,1000,28,30565.5,8,18,16841,36.9,55.6
2023-08-24,28.0,42,1000,19,29523.15,8,18,13253,23.1,48.9
2023-08-25,29.0,48,1000,34,24435.94,8,18,21867,27.7,32.1
2023-08-26,30.0,40,1000,15,47533.44,8,18,14791,53.6,46.7
2023-08-27,24.0,50,1000,25,39718.84,8,18,21114,30.9,25.6
2023-08-28,22.0,55,1000,30,34429.24,8,18,18582,55.1,39.8
2023-08-29,25.0,60,1000,22,13917.46,8,18,10568,43.3,53.4
2023-08-30,23.0,52,1000,16,48813.68,8,18,8959,55.5,25.6
2023-08-31,26.0,47,1000,35,41718.64,8,18,21851,38.7,32.3
2023-09-01,27.0,43,1000,21,40088.5,8,18,21526,36.1,46.7
2023-09-02,28.0,41,1000,29,34516.42,8,18,9290,32.406,58.9
2023-09-03,26.0,39,1000,18,32916.3,8,18,21309,40.3,24.5
2023-09-04,25.0,37,1000,33,41587.85,8,18,7154,59.2,47.8
2023-05-28,23.0,35,800,24,34042.15,10,20,15615,31.6,26.7
2023-05-29,22.0,33,800,14,38395.9,10,20,16034,34.6,32.1
2023-05-30,21.0,35,800,26,33807.94,10,20,21504,31.4,46.5
2023-05-31,20.0,37,800,20,32910.82,10,20,13423,44.406,53.2
2023-06-01,19.0,40,800,27,30088.76,10,20,20954,26.3,39.3
2023-06-02,18.0,42,800,36,41082.02,10,20,21903,29.1,41.1
2023-06-03,19.0,45,800,23,31176.16,10,20,18125,55.2,27.6
2023-06-04,20.0,48,800,32,23921.14,10,20,9173,35.5,51.2
2023-06-05,22.0,51,800,13,29896.62,10,20,14743,52.8,35.6
2023-06-06,24.0,54,800,15,32535.0,10,20,6729,38.2,48.9
2023-06-07,25.0,57,800,19,29559.69,10,20,19119,46.906,23.2
2023-06-08,26.0,60,800,26,29259.69,10,20,18548,26.9,37.6
2023-06-09,27.0,63,800,22,21375.71,10,20,13710,29.9,52.3
2023-06-10,28.0,65,800,34,26872.32,10,20,21242,27.6,25.6
2023-06-11,29.0,63,800,31,29741.39,10,20,8485,28.4,47.6
2023-06-12,30.0,60,800,20,33985.94,10,20,20952,30.7,32.9
2023-06-13,31.0,57,800,28,24617.01,10,20,15146,23.703,56.7
2023-06-14,30.0,54,800,16,20850.26,10,20,21589,54.7,30.9
2023-06-15,29.0,51,800,33,24620.71,10,20,20170,31.1,24.3
2023-06-16,28.0,48,800,35,20579.8,10,20,15564,35.7,42.3
2023-06-17,27.0,45,800,27,40196.12,10,20,19155,26.203,35.6
2023-06-18,26.0,42,800,18,29646.47,10,20,12132,49.8,47.8
2023-06-19,25.0,39,800,21,1918.77,10,20,18363,28.6,26.7
2023-06-20,24.0,36,800,32,23771.71,10,20,16340,46.7,32.1
2023-06-21,23.0,33,800,23,29165.37,10,20,16882,28.9,46.5
2023-06-22,22.0,30,800,24,31029.01,10,20,21603,46.8,53.2
2023-06-23,21.0,27,800,30,33558.46,10,20,18534,34.906,29.3
2023-06-24,20.0,30,800,25,27222.37,10,20,20416,49.906,41.1
2023-06-25,19.0,33,800,14,29781.12,10,20,20327,52.1,37.6
2023-06-26,18.0,36,800,17,40109.23,10,20,18058,32.8,51.2
2023-06-27,17.0,39,800,36,37348.3,10,20,17634,25.4,25.6
2023-06-28,16.0,42,800,13,60260.88,10,20,10919,25.8,48.9
2023-06-29,17.0,45,800,31,23015.51,10,20,16342,59.5,33.2
2023-06-30,18.0,48,800,17,30291.6,10,20,21014,48.1,29.1
2023-07-01,19.0,51,800,28,28939.85,10,20,8967,53.7,46.7
2023-07-02,20.0,54,800,19,31258.4,10,20,9221,37.406,37.8
2023-07-03,21.0,57,800,34,39023.19,10,20,20723,25.9,52.1
2023-07-04,22.0,60,800,15,33382.08,10,20,16615,26.1,45.6
2023-07-05,23.0,63,800,25,38830.73,10,20,15691,32.594,27.8
2023-07-06,24.0,65,800,30,45656.57,10,20,13522,43.2,38.9
2023-07-07,25.0,67,800,22,21420.69,10,20,18557,25.5,52.3
2023-07-08,26.0,70,800,16,27940.93,10,20,21664,33.9,25.6
2023-07-09,27.0,72,800,35,30793.28,10,20,16386,34.1,47.6
2023-07-10,28.0,70,800,21,40705.56,10,20,11453,53.5,32.9
2023-07-11,29.0,67,800,29,24797.82,10,20,15170,34.8,56.7
2023-07-12,30.0,65,800,18,22480.2,10,20,16941,51.7,30.9
2023-07-13,31.0,63,800,33,21651.69,10,20,7680,56.5,24.3
2023-07-14,32.0,60,800,24,25355.05,10,20,6937,32.7,42.3
2023-07-15,33.0,57,800,14,36456.91,10,20,8502,45.2,35.6
2023-07-16,32.0,54,800,26,28292.85,10,20,11347,55.8,47.8
2023-07-17,31.0,51,800,20,34909.73,10,20,19518,47.406,26.7
2023-07-18,30.0,48,800,27,28155.46,10,20,20305,53.1,32.1
2023-07-19,29.0,45,800,36,34464.61,10,20,17494,56.3,46.5
2023-07-20,28.0,42,800,23,34567.29,10,20,15534,28.3,53.2
2023-07-21,27.0,39,800,32,38982.18,10,20,20373,25.3,29.3
2023-07-22,26.0,36,800,13,38211.25,10,20,15741,31.3,41.1
2023-07-23,25.0,33,800,15,38512.16,10,20,21279,27.3,37.6
2023-07-24,24.0,30,800,19,31253.42,10,20,13259,54.906,51.2
2023-07-25,23.0,27,800,26,25259.74,10,20,10679,42.6,25.6
2023-07-26,22.0,24,800,22,27733.51,10,20,20551,59.906,48.9
2023-07-27,21.0,27,800,34,25802.77,10,20,11081,38.3,33.2
2023-07-28,20.0,30,800,31,26145.99,10,20,21980,51.5,29.1
2023-07-29,19.0,33,800,20,33149.84,10,20,8315,51.3,46.7
2023-07-30,18.0,36,800,28,28627.58,10,20,12621,26.8,37.8
2023-07-31,17.0,39,800,16,30644.92,10,20,19335,32.2,52.1
2023-08-01,16.0,42,800,33,34402.77,10,20,16552,43.8,45.6
2023-08-02,15.0,45,800,35,37491.34,10,20,16428,55.7,27.8
2023-08-03,16.0,48,800,27,34271.05,10,20,18115,47.1,38.9
2023-08-04,17.0,51,800,18,29579.68,10,20,9178,26.6,52.3
2023-08-05,18.0,54,800,21,37428.16,10,20,14963,52.5,25.6
2023-08-06,19.0,57,800,32,35675.12,10,20,21494,29.8,47.6
2023-08-07,20.0,60,800,23,31977.33,10,20,18609,28.0,32.9
2023-08-08,21.0,63,800,24,34651.94,10,20,16209,59.1,56.7
2023-08-09,22.0,65,800,30,26815.72,10,20,16276,35.3,30.9
2023-08-10,23.0,14,800,25,24107.45,10,20,20443,58.9,24.3
2023-08-11,24.0,15,800,14,28390.68,10,20,13833,41.2,42.3
2023-08-12,25.0,16,800,17,27595.81,10,20,15958,34.5,35.6
2023-08-13,26.0,17,800,36,31869.92,10,20,12679,27.1,47.8
2023-08-14,27.0,16,800,13,38210.57,10,20,20413,30.1,26.7
2023-08-15,28.0,15,800,31,36862.29,10,20,9615,53.3,32.1
2023-08-16,29.0,33,800,17,39792.45,10,20,17091,57.5,46.5
2023-08-17,30.0,35,800,28,37205.39,10,20,13381,58.3,53.2
2023-08-18,25.0,37,800,19,29374.92,10,20,17378,36.0,29.3
2023-08-19,24.0,11,800,34,26766.78,10,20,20642,30.4,41.1
2023-08-20,26.0,13,800,15,26249.06,10,20,21370,46.5,37.6
2023-08-21,23.0,10,800,25,23599.51,10,20,11857,37.9,51.2
2023-08-22,27.0,14,800,30,29934.45,10,20,20794,54.1,25.6
2023-08-23,28.0,15,800,22,34139.01,10,20,19808,49.6,48.9
2023-08-24,26.0,13,800,16,31479.52,10,20,20205,58.5,33.2
2023-08-25,25.0,12,800,35,38866.01,10,20,19489,26.4,29.1
2023-08-26,24.0,11,800,21,32125.62,10,20,14059,28.2,46.7
2023-08-27,23.0,10,800,29,35982.19,10,20,18140,58.1,37.8
2023-08-28,22.0,9,800,18,39891.23,10,20,8684,57.9,52.1
2023-08-29,21.0,8,800,33,34761.24,10,20,10736,27.9,45.6
2023-08-30,20.0,7,800,24,30958.37,10,20,20490,26.7,27.8
2023-08-31,19.0,6,800,14,27035.17,10,20,21846,24.4,38.9
2023-09-01,18.0,5,800,26,38202.41,10,20,19380,54.3,52.3
2023-09-02,19.0,6,800,20,39752.34,10,20,18233,58.7,25.6
2023-09-03,20.0,7,800,27,30868.22,10,20,13205,47.2,47.6
2023-09-04,21.0,8,800,36,33622.56,10,20,12285,45.1,32.9
2023-05-28,22.0,9,1200,23,29133.79,4,14,16188,35.8,56.7
2023-05-29,23.0,10,1200,32,38509.18,4,14,7666,33.3,30.9
2023-05-30,24.0,11,1200,13,35884.91,4,14,8447,34.304,24.3
2023-05-31,25.0,12,1200,15,30476.76,4,14,19477,44.7,42.3
2023-06-01,26.0,13,1200,19,35709.35,4,14,21152,47.9,35.6
2023-06-02,27.0,14,1200,26,30762.12,4,14,18586,56.4,47.8
2023-06-03,28.0,15,1200,22,28245.99,4,14,15932,53.9,26.7
2023-06-04,29.0,16,1200,34,31755.41,4,14,17733,53.8,32.1
2023-06-05,30.0,17,1200,31,33233.25,4,14,17874,32.1,46.5
2023-06-06,29.0,16,1200,20,36518.12,4,14,13117,41.7,53.2
2023-06-07,28.0,15,1200,28,38072.95,4,14,21774,27.5,29.3
2023-06-08,27.0,14,1200,16,33250.65,4,14,16806,34.2,41.1
2023-06-09,26.0,13,1200,33,29934.16,4,14,12833,41.1,37.6
2023-06-10,25.0,12,1200,35,30384.56,4,14,17987,39.5,51.2
2023-06-11,24.0,11,1200,27,35903.21,4,14,16661,50.3,25.6
2023-06-12,23.0,10,1200,18,38805.79,4,14,7512,31.5,48.9
2023-06-13,22.0,9,1200,21,37425.63,4,14,13825,27.203,33.2
2023-06-14,21.0,8,1200,32,31025.51,4,14,18670,40.6,29.1
2023-06-15,20.0,7,1200,23,27662.13,4,14,14706,54.406,46.7
2023-06-16,19.0,6,1200,24,35846.88,4,14,14446,43.9,37.8
2023-06-17,18.0,5,1200,30,35664.11,4,14,14007,37.5,52.1
2023-06-18,17.0,4,1200,25,38419.64,4,14,15645,28.703,45.6
2023-06-19,16.0,5,1200,14,32000.65,4,14,19401,59.6,27.8
2023-06-20,15.0,6,1200,17,36284.92,4,14,10248,40.4,38.9
2023-06-21,16.0,7,1200,36,37461.19,4,14,18050,34.7,52.3
2023-06-22,17.0,8,1200,13,30325.94,4,14,21890,48.0,25.6
2023-06-23,18.0,9,1200,27,26210.18,4,14,18893,24.9,47.6
2023-06-24,19.0,10,1200,34,37629.87,4,14,21343,49.2,32.9
2023-06-25,20.0,11,1200,20,36564.79,4,14,12067,59.1,56.7
2023-06-26,21.0,12,1200,32,39430.28,4,14,21578,33.4,30.9
2023-06-27,22.0,13,1200,16,34157.25,4,14,20165,42.0,24.3
2023-06-28,23.0,14,1200,29,39627.58,4,14,20782,43.0,42.3
2023-06-29,24.0,15,1200,23,35874.49,4,14,7471,32.5,35.6
2023-06-30,25.0,16,1200,35,31973.23,4,14,4348,39.7,47.8
2023-07-01,26.0,17,1200,15,37580.42,4,14,2917,56.0,26.7
2023-07-02,27.0,18,1200,28,35528.36,4,14,8030,25.1,32.1
2023-07-03,28.0,17,1200,14,34473.52,4,14,4775,55.0,46.5
2023-07-04,29.0,16,1200,19,36346.28,4,14,9102,50.1,53.2
2023-07-05,30.0,15,1200,22,31747.69,4,14,5603,38.9,29.3
2023-07-06,31.0,14,1200,33,36792.46,4,14,3244,51.3,41.1
2023-07-07,32.0,13,1200,30,33665.19,4,14,7888,44.6,37.6
2023-07-08,31.0,12,1200,24,31645.77,4,14,3029,47.7,51.2
2023-07-09,30.0,11,1200,21,39568.11,4,14,7022,41.8,25.6
2023-07-10,29.0,10,1200,25,33498.23,4,14,5831,54.5,48.9
2023-07-11,28.0,9,1200,18,36538.65,4,14,4335,46.6,33.2
2023-07-12,27.0,8,1200,31,36347.82,4,14,7499,29.3,29.1
2023-07-13,26.0,7,1200,36,34791.29,4,14,6236,53.4,46.7
2023-07-14,25.0,6,1200,17,34296.81,4,14,9486,47.7,37.8
2023-07-15,24.0,7,1200,26,30884.79,4,14,7287,39.2,52.1
2023-07-16,23.0,8,1200,13,35218.06,4,14,5783,43.2,45.6
2023-07-17,22.0,9,1200,16,36124.31,4,14,3901,59.1,27.8
2023-07-18,21.0,10,1200,35,31290.64,4,14,6653,44.7,38.9
2023-07-19,20.0,11,1200,31,36583.78,4,14,5505,40.1,52.3
2023-07-20,19.0,12,1200,19,38903.48,4,14,3989,46.7,25.6
2023-07-21,18.0,13,1200,27,30753.47,4,14,9825,44.5,47.6
2023-07-22,17.0,14,1200,32,32559.84,4,14,3859,36.8,32.9
2023-07-23,16.0,15,1200,22,39802.25,4,14,7501,25.4,56.7
2023-07-24,17.0,16,1200,34,33218.69,4,14,7123,34.906,30.9
2023-07-25,18.0,17,1200,15,39642.51,4,14,5895,37.2,24.3
2023-07-26,19.0,18,1200,18,38926.82,4,14,3579,39.1,42.3
2023-07-27,20.0,19,1200,28,33610.57,4,14,7432,33.1,35.6
2023-07-28,21.0,20,1200,21,38401.82,4,14,4130,47.9,47.8
2023-07-29,22.0,19,1200,30,35546.38,4,14,5311,36.7,26.7
2023-07-30,23.0,18,1200,25,38937.16,4,14,2081,46.7,32.1
2023-07-31,24.0,17,1200,33,39816.47,4,14,3410,52.406,46.5
2023-08-01,25.0,16,1200,20,34532.19,4,14,2328,57.8,53.2
2023-08-02,26.0,15,1200,14,36105.27,4,14,5502,35.5,29.3
2023-08-03,27.0,16,1200,26,36146.62,4,14,3578,30.4,41.1
2023-08-04,28.0,15,1200,29,38637.85,4,14,6223,34.7,37.6
